beta1	beta2
315.4377199222204	-3.3643162934527977
131.88418380824376	1.610213588526539
236.8065538551732	-1.3677010358194035
322.34175719715944	-3.368080053090415
163.74692035611764	0.45470289531520647
341.4266819640249	-4.050961898449343
267.9997328284342	-2.1218891269656837
350.7353483171752	-4.645383328157488
297.2043239138163	-3.0016601905365152
302.6133904140596	-3.1817883765180155
254.53970051459729	-1.4922974310343413
420.17558694110545	-6.046312314410898
709.5586138047595	-14.18871599171552
261.5439674993153	-1.7530174490250034
193.70733850516646	0.10763020697564106
303.625692546488	-3.3782536457155214
290.38139392200804	-2.9083120034738474
266.5874603560059	-2.11811180813379
297.4877553148649	-2.802708738435235
218.7912814704697	-0.7474558764586224
194.98316413714502	-0.05642482624533606
184.55992501477098	0.33606706286600774
378.21514674070505	-5.001511562832113
223.41037787928212	-0.9325820101444755
102.0599214602267	2.6316682060547336
150.85108452267582	1.4304373058790525
299.16027545478374	-2.9453709206220378
257.0756503819044	-1.84456480389909
194.4111335054848	0.13075723272850354
239.99021383140672	-1.1170124684158427
307.16941142232895	-3.074680942804476
129.7143765719315	1.4403695614485768
233.06334853385178	-0.9821535058188812
305.56060377596054	-3.21841913984763
253.80539174718288	-1.5922474252771854
239.08585200760822	-1.2291547767206759
258.0065534662434	-1.6214782042252383
282.7515723698991	-2.193458568943343
355.5929685903465	-4.407988472943381
242.6922554129833	-0.959365778998855
1047.159149635312	-24.287102152117463
233.4498026880323	-0.7056257202703565
328.6661078488738	-3.7821503196315813
175.90285908702597	0.5300638649695929
286.8790607927592	-2.590045742080045
224.61357133555344	-0.7421792002364186
206.61194338475056	-0.4324199839585562
258.0623173812695	-1.5409991889723902
351.05449373213406	-4.070608058625014
229.179111095611	-0.8108996885019154
194.37244360116148	0.14460950070187606
252.83231630353077	-1.2427791168115423
295.1692822385573	-3.2760068734056818
233.85362345996106	-1.4899380735830916
204.67381660507198	-0.2400498726350234
403.7195317804978	-6.008533223950135
307.22557400265543	-2.859380944606749
122.72619883513791	1.7610895885246116
294.0180738704721	-2.847404858293362
387.34978677909794	-5.582980534742616
233.69020082442478	-1.1358557848777733
245.57268563520736	-1.2273257638588964
152.7636431195012	1.1387008342587086
314.5554730107525	-3.4286904176733923
310.10759210499384	-3.196415798661013
286.271990574973	-2.8320201776926868
333.2551397795067	-3.6322899579686965
229.04697658859564	-0.8995321884273704
168.32269173096645	0.5864834823129784
286.8109792812164	-2.268584291775262
243.62629792132154	-1.4318447015446363
372.41747440260247	-5.296569273877973
195.70776489381257	-0.07485342887066077
188.30464909762887	0.30483615188003177
355.67502962641754	-4.944168645196852
307.01546831549257	-3.4586157461325575
322.4632400343554	-3.5253055586230033
204.3070488236556	-0.365110192072122
240.25483358051736	-0.9779250412732733
209.59817693950833	-0.5786559672024203
341.3189771158367	-5.0967986163694565
228.43436614128723	-0.8247210354674379
331.221994722404	-3.6299237228212853
405.69194085378126	-5.938206776807459
364.4108623419272	-4.5425308178337795
83.80883626481953	3.742206670267755
146.50245621143927	1.1756823279687865
340.07862641392524	-4.068499440814883
232.27856278128135	-1.0040837445911581
341.4727386265426	-4.075357361862279
226.35261645471792	-0.7482259737171121
267.68684902048966	-1.6259802773612775
325.2174261653213	-3.699088340507549
238.55488143710875	-1.0950813688368013
329.7260226723756	-3.7319461278268036
407.4732965014013	-5.8789327416622505
251.9864005324613	-1.481877188885743
359.0294026019126	-4.647749913122084
203.97810534893395	-0.15697275799356147
